編號,使用執照號碼,原建照編號,棟別編號,勘災組編號,建物名稱,地址,Latitude,Longitude,建築物用途說明,高度,樓層,分數,風險等級,張貼紅色危險標誌,張貼黃色危險標誌,綠標(未貼單/已補強),class,預定勘災日,紅黃單有無使照註記,GPS座標E,GPS座標N,勘災人員現場震損判斷,上傳NCREE,drawing,photo,GPS_lon,GPS_lat
,,,,C03,花蓮縣花蓮市明禮國民小學,花蓮市明禮路6號,23.9806578,121.610426,D4:教室,,4.0,,,,,1.0,1,6.0,,"121°36'37.53""","23°58'49.38""",N,V,V,V,121.610425,23.98038333
,(83)花建使字第01102號,IJ00820100008080000,,C04,明禮路街屋,花蓮市國光里2鄰明禮路16號-1/-2,23.9818278,121.6089814,H2:店舖 住宅,17.0,5.0,,,,2.0,,2,6.0,立面圖相符,"121°36'32.33""",24°58'54.58,S,V,V,V,121.60898056,24.96666667
,,,,C05,麗翔酒店,花蓮市花崗街2號,23.9742815,121.6117958,G3:店舖 商場 集合住宅 辦公室 避難室,,6.0,,,,,1.0,1,6.0,,"121°36'43""","23°58'27""",N,V,V,V,121.61194444,23.97416667
,,,,C06,山海觀大樓,吉安鄉仁里村仁里五街177號,23.9695273,121.5865082,H2:集合住宅 店舖 防空避難室兼停車場,,15.0,,,3.0,,,3,7.0,,"121°35'11""","23°58'10""",S,V,V,V,121.58638889,23.96944444
,(84)花建使字第00306號,IJ00810100007420000,,C07,蓮花大樓,花蓮市主權里16鄰德安六街69號三樓,23.9716447,121.5916741,H2:集合住宅 店舖 防空避難室兼停車場,49.95,17.0,,,,2.0,,2,7.0,立面圖相符,"121°35'30""","23°58'16""",S,V,V,V,121.59166667,23.97111111
,(87)花建變使字第01420號之1,IJ00830100022850000,,C08,,吉安鄉北昌村33鄰自強路541號,23.9877544,121.5926021,H2:店舖 補習班 住宅,13.5,4.0,,,,2.0,,2,7.0,立面圖相符,"121°35'33""","23°59'15""",M,V,V,V,121.5925,23.9875
,,,,C09,花蓮代天府,花蓮市主計里明義街1之36號,23.9703981,121.6103352,,,,,,3.0,,,3,8.0,,"121°36'34""","23°58'13""",S,V,V,V,121.60944444,23.97027778
,,,,C10,,花蓮市中順街39號（圍牆）,23.9679755,121.5976883,,,,,,,2.0,,2,8.0,,"121°35'51""","23°58'5""",L,V,V,V,121.5975,23.96805556
,,,,C11,馥邑天下大廈,花蓮市國風里林森路285號,23.9796959,121.6023192,,,,,,,2.0,,2,8.0,,"121°36'51""","23°58'46""",M,V,V,V,121.61416667,23.97944444
,,,,C12,,吉安鄉太昌村太昌路422號,23.991636,121.566985,,,,,,3.0,,,3,8.0,,"121°34'1""","23°59'30""",M,V,V,V,121.56694444,23.99166667
,,,,C13,,吉安鄉太昌村太昌路418、420號,23.991571,121.5670915,,,,,,,,,1,8.0,,"121°34'1""","23°59'30""",N,V,V,V,121.56694444,23.99166667
,,,,C14,,吉安鄉太昌村太昌路318巷14號,23.9903548,121.5703881,,,,,,,2.0,,2,8.0,,"121°34'0""","23°59'30""",M,V,V,V,121.56666667,23.99166667
,,,,,馥邑京華公寓大樓,花蓮市主力里中和街207號,23.9745591,121.5981418,集合住宅,45.0,15.0,,,3.0,,,3,,,"121°35'53.89""","23°58'29.14"" ",S,V,V,V,121.59830278,23.97476111
,,,,,,花蓮市國魂里中山路475之3號,23.9842214,121.6035857,D5:補習班,13.9,4.0,,,,,,1,7.0,人工尋找,"121°36'12.09""","23°59'03.22"" ",S,V,V,V,121.60335833,23.98422778
,,,,,,花蓮市國魂里中山路475之5號,23.9842214,121.6035857,H2:店舖 住宅,16.2,5.0,,,3.0,,,3,7.0,人工尋找,"121°36'12.09""","23°59'03.22"" ",S,V,V,V,121.60335833,23.98422778
,,,,,,壽豐鄉平和村吳全129號（樓梯間梁）,23.8902876,121.5537785,H2:住宅,3.0,1.0,,,3.0,,,3,8.0,,"121°33'13.81""","23°53'24.79"" ",N,,V,V,121.55383611,23.89021944
